VALE3;01/04/2025;57,10;57,93;56,95;57,19;709179965,00;12330800
VALE3;31/03/2025;56,72;57,02;56,03;56,70;1156726519,00;20438500
VALE3;28/03/2025;58,10;58,38;57,56;57,56;1794957353,00;31122400
VALE3;27/03/2025;58,00;58,45;57,61;58,15;891075897,00;15308800
VALE3;26/03/2025;57,40;58,04;57,39;57,69;1695552025,00;29378200
VALE3;25/03/2025;57,32;57,75;57,11;57,34;895799050,00;15598900
VALE3;24/03/2025;57,95;58,24;56,96;57,15;1069183946,00;18617800
VALE3;21/03/2025;56,95;57,45;56,83;57,45;1744066661,00;30426600
VALE3;20/03/2025;57,04;57,49;56,78;57,24;983831097,00;17186200
VALE3;19/03/2025;57,35;57,55;56,85;57,42;1326281610,00;23178000
VALE3;18/03/2025;57,20;57,56;56,62;57,52;1037356835,00;18132100
VALE3;17/03/2025;56,29;57,24;56,14;57,10;1301160831,00;22845600
VALE3;14/03/2025;55,20;56,41;55,16;56,29;1779133671,00;31771000
VALE3;13/03/2025;53,88;55,16;53,70;54,50;1123178745,00;20571800
VALE3;12/03/2025;54,50;54,50;53,15;53,76;1006677493,00;18785800
VALE3;11/03/2025;54,08;54,72;53,41;54,44;1245672768,00;23015700
VALE3;10/03/2025;54,23;54,55;53,25;53,99;1270352864,00;23578900
VALE3;07/03/2025;55,98;57,35;55,55;57,02;1443067582,00;25445600
VALE3;06/03/2025;55,64;56,52;55,55;56,20;993283215,00;17678400
VALE3;05/03/2025;56,15;56,22;55,39;55,59;771902067,00;13843400
VALE3;28/02/2025;55,94;56,14;55,15;55,15;2588398089,00;46784100
VALE3;27/02/2025;56,45;56,99;56,01;56,30;1052314198,00;18658000
VALE3;26/02/2025;57,37;57,69;56,72;56,72;1451903522,00;25399100
VALE3;25/02/2025;57,30;57,44;56,89;57,07;1116544312,00;19554800
VALE3;24/02/2025;58,10;58,57;57,48;57,63;1104964356,00;19081700
VALE3;21/02/2025;57,90;58,16;57,56;58,16;2150603449,00;37095200
VALE3;20/02/2025;56,80;58,16;56,48;57,74;4409001263,00;76934000
VALE3;19/02/2025;55,30;55,73;54,72;55,69;1464569761,00;26472500
VALE3;18/02/2025;55,60;55,97;55,51;55,74;1539106635,00;27608200
VALE3;17/02/2025;55,64;55,92;55,28;55,37;689182490,00;12391400
VALE3;14/02/2025;55,22;55,81;55,00;55,67;2766301942,00;49800100
VALE3;13/02/2025;54,85;55,00;54,13;54,86;1188920278,00;21749900
VALE3;12/02/2025;55,01;55,29;54,70;54,79;1947522878,00;35432600
VALE3;11/02/2025;54,91;55,19;54,39;55,16;998961824,00;18198300
VALE3;10/02/2025;54,87;55,40;54,84;55,40;858087646,00;15566300
VALE3;07/02/2025;55,30;55,78;54,56;54,83;1341600729,00;24389300
VALE3;06/02/2025;55,40;55,64;54,97;55,13;1811745048,00;32789000
VALE3;05/02/2025;53,91;54,46;53,86;54,31;1175585172,00;21674800
VALE3;04/02/2025;54,13;54,71;53,81;54,02;1766085963,00;32648700
VALE3;03/02/2025;53,73;54,28;53,33;54,21;1467173924,00;27216400
VALE3;31/01/2025;54,99;55,21;54,00;54,17;1387334339,00;25461000
VALE3;30/01/2025;53,30;55,60;53,28;55,03;2217850460,00;40562400
VALE3;29/01/2025;52,80;53,51;52,63;52,80;1020098645,00;19220300
VALE3;28/01/2025;53,59;53,78;52,54;52,65;1213869950,00;22932900
VALE3;27/01/2025;52,89;53,98;52,57;53,96;1314507461,00;24531300
VALE3;24/01/2025;52,60;53,19;52,60;53,03;1084407271,00;20486100
VALE3;23/01/2025;52,95;52,99;51,84;52,32;1311852050,00;25097300
VALE3;22/01/2025;54,28;54,29;52,42;52,66;1843897392,00;34645400
VALE3;21/01/2025;54,29;54,32;53,25;54,02;1548583619,00;28798700
VALE3;20/01/2025;54,22;54,49;53,76;54,29;666238407,00;12317600
VALE3;17/01/2025;53,15;54,49;52,98;54,49;2935303503,00;54274500
VALE3;16/01/2025;52,29;53,27;52,00;52,67;1,152877379E10;220262800
VALE3;15/01/2025;52,14;52,68;51,63;52,60;1829784180,00;35137700
VALE3;14/01/2025;51,95;52,43;51,63;51,85;1111681393,00;21379000
VALE3;13/01/2025;52,00;52,31;50,87;51,51;1591567206,00;30845300
VALE3;10/01/2025;51,54;52,31;51,23;51,52;1335774317,00;25832500
VALE3;09/01/2025;52,05;52,25;51,14;51,23;819749495,00;15865200
VALE3;08/01/2025;52,03;52,29;51,43;51,55;1262068106,00;24423800
VALE3;07/01/2025;52,63;52,89;51,94;52,05;1154893951,00;22070200
VALE3;06/01/2025;53,48;53,79;52,48;52,56;1148126692,00;21689500
VALE3;03/01/2025;53,90;54,00;52,88;53,24;1259091413,00;23595200
VALE3;02/01/2025;54,71;55,10;54,23;54,25;960890043,00;17623900
